complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
17-0272,76591112,black,female,4921 RADIO ROOM 1,Domestic,No Sustained Findings,Not Applicable
17-0273,81329137,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0273,72956010,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0274,94590837,black,male,9821 SAFETY OFFICE,Criminal Allegation,Sustained Finding,Guilty Finding
17-0274,94590837,black,male,9821 SAFETY OFFICE,Departmental Violation,Sustained Finding,Guilty Finding
17-0275,92503606,white,male,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0275,58419553,white,male,1500 15TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0276,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0277,44911004,white,male,4923 RADIO ROOM 3,Lack of Service,No Sustained Findings,Not Applicable
17-0277,44911004,white,male,4923 RADIO ROOM 3,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0277,24906617,white,male,5601 TOW SQUAD,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0277,24906617,white,male,5601 TOW SQUAD,Lack of Service,No Sustained Findings,Not Applicable
17-0278,91448747,white,male,2400 24TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0278,91448747,white,male,2400 24TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
17-0279,NA,NA,NA,NA,Harassment,No Sustained Findings,Not Applicable
17-0280,97339479,black,female,1900 19TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0280,97339479,black,female,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0281,11451112,white,male,5900 EAST DETECTIVES,Lack of Service,No Sustained Findings,Not Applicable
17-0282,99690725,white,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0282,68204252,white,male,1700 17TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0282,68204252,white,male,1700 17TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0282,99690725,white,male,1700 17TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0314,23622762,white,male,1400 14TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0283,11887475,black,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0284,76080934,black,male,1400 14TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0284,76080934,black,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0285,75233613,other,female,4921 RADIO ROOM 1,Lack of Service,No Sustained Findings,Not Applicable
17-0285,77448732,latino,female,4921 RADIO ROOM 1,Lack of Service,No Sustained Findings,Not Applicable
17-0285,82467939,latino,female,4921 RADIO ROOM 1,Lack of Service,No Sustained Findings,Not Applicable
17-0286,29364663,black,female,1600 16TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0287,88528444,white,male,4500 CENTER CITY DISTRIC,Physical Abuse,No Sustained Findings,Not Applicable
17-0288,77751714,white,male,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
17-0288,77751714,white,male,1900 19TH DISTRICT,Physical Abuse,Sustained Finding,No Guilty Findings
17-0288,87591688,white,male,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,No Guilty Findings
17-0288,87591688,white,male,1900 19TH DISTRICT,Physical Abuse,Sustained Finding,No Guilty Findings
17-0289,87110177,black,female,1200 12TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
17-0290,39732152,white,male,3900 39TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0291,26945611,white,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
17-0291,14770700,white,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
17-0291,11370603,white,male,0100 01ST DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
17-0291,85010244,white,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
17-0292,53753969,white,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
17-0292,13869134,latino,male,5300 HIGHWAY PATROL,Verbal Abuse,No Sustained Findings,Not Applicable
17-0293,51346418,black,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0293,51346418,black,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0293,51346418,black,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0293,51346418,black,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0294,35134546,white,male,1400 14TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0295,NA,NA,NA,NA,Verbal Abuse,No Sustained Findings,Not Applicable
17-0295,NA,NA,NA,NA,Physical Abuse,No Sustained Findings,Not Applicable
17-0296,67509881,white,male,9821 SAFETY OFFICE,Departmental Violation,No Sustained Findings,Not Applicable
17-0296,67509881,white,male,9821 SAFETY OFFICE,Departmental Violation,No Sustained Findings,Not Applicable
17-0296,67509881,white,male,9821 SAFETY OFFICE,Physical Abuse,No Sustained Findings,Not Applicable
17-0296,67509881,white,male,9821 SAFETY OFFICE,Domestic,No Sustained Findings,Not Applicable
17-0297,46192628,black,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0297,53971635,asian,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0298,15620424,latino,male,2500 25TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
17-0298,15620424,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0299,70230714,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0299,95972711,white,male,0200 02ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
17-0300,90889131,white,male,0200 02ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0301,19950754,black,male,4500 CENTER CITY DISTRIC,Criminal Allegation,Sustained Finding,Training/Counseling
17-0301,19950754,black,male,4500 CENTER CITY DISTRIC,Other Misconduct,No Sustained Findings,Not Applicable
17-0302,53211690,white,male,3900 39TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
17-0303,59604360,black,female,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0303,59604360,black,female,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0304,NA,NA,NA,NA,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0305,10606881,black,male,9815 EXTERNAL SERVICES,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0306,88067018,black,female,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0306,42127000,white,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0306,96382638,black,male,1800 18TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0307,15620424,latino,male,2500 25TH DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
17-0308,82689897,black,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
17-0308,82689897,black,male,3500 35TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0309,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0309,NA,NA,NA,NA,Verbal Abuse,No Sustained Findings,Not Applicable
17-0310,81022893,asian,male,0200 02ND DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0310,81022893,asian,male,0200 02ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0311,60742990,white,male,0200 02ND DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
17-0312,21336061,white,male,1900 19TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
17-0312,80573827,white,male,1900 19TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
17-0313,34517423,white,female,1500 15TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
17-0314,73030855,white,male,1400 14TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0314,87910463,white,male,5300 HIGHWAY PATROL,Physical Abuse,No Sustained Findings,Not Applicable
17-0314,45812570,black,male,1400 14TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0314,45812570,black,male,1400 14TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0314,22020990,white,male,5300 HIGHWAY PATROL,Physical Abuse,No Sustained Findings,Not Applicable
17-0315,30922662,white,female,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
17-0316,56925927,latino,male,2600 26TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0316,67169134,white,female,2600 26TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0316,81143571,black,male,5900 EAST DETECTIVES,Lack of Service,No Sustained Findings,Not Applicable
17-0316,56925927,latino,male,2600 26TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0317,52205240,white,male,2400 24TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0318,77565118,black,female,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0319,51562883,white,male,1200 12TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0319,51562883,white,male,1200 12TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
17-0320,80495550,black,male,2500 25TH DISTRICT,Disciplinary Code Violation,Sustained Finding,Guilty Finding
17-0320,65136834,white,male,2500 25TH DISTRICT,Disciplinary Code Violation,Sustained Finding,Guilty Finding
17-0320,80495550,black,male,2500 25TH DISTRICT,Lack of Service,Sustained Finding,Guilty Finding
17-0320,65136834,white,male,2500 25TH DISTRICT,Lack of Service,Sustained Finding,Guilty Finding
17-0321,96341268,white,male,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0322,43197824,black,female,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0322,29311792,black,male,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0323,28491937,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0323,28491937,white,male,5300 HIGHWAY PATROL,Departmental Violation,Sustained Finding,Training/Counseling
17-0323,81426813,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0323,28491937,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0323,81426813,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0324,71412088,latino,male,1600 16TH DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
17-0324,77173730,latino,male,1600 16TH DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
17-0325,71412088,latino,male,1600 16TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
17-0325,71412088,latino,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0325,71412088,latino,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0326,94504663,white,female,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0326,79955503,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0327,62526552,latino,female,6600 NORTHWEST DETECTIVE,Criminal Allegation,No Sustained Findings,Not Applicable
17-0328,66808473,white,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0328,81243821,white,male,0500 05TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0328,93928911,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0328,49193269,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0328,65899011,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0328,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
17-0328,49193269,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0328,65899011,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0328,43164178,white,male,0500 05TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0328,93928911,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0328,43164178,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0328,81243821,white,male,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0328,66808473,white,male,5200 TRAFFIC DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0328,66808473,white,male,5200 TRAFFIC DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0328,43164178,white,male,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0329,97827684,white,male,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0329,69679166,white,male,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0329,69679166,white,male,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0329,69679166,white,male,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0329,97827684,white,male,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0329,21957818,black,female,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0329,97827684,white,male,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0330,80283548,black,female,0300 03RD DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0331,22207414,white,male,0200 02ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0331,83157503,white,male,0200 02ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0332,88874341,white,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0332,88874341,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0332,99851915,white,male,3500 35TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0332,99851915,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0333,85225507,black,female,1900 19TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0333,85225507,black,female,1900 19TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0334,80184671,white,female,1400 14TH DISTRICT,Criminal Allegation,No Sustained Findings,Not Applicable
17-0335,21229974,latino,male,0300 03RD DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0336,45808107,latino,female,9821 SAFETY OFFICE,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0337,23622762,white,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0337,76080934,black,male,1400 14TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0337,49262277,white,male,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0338,69337045,latino,female,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0338,31903535,black,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0338,55896646,black,female,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0338,59152719,black,male,0600 06TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0339,59385492,white,female,5602 NEIGHBORHOOD SERV U,Departmental Violation,No Sustained Findings,Not Applicable
17-0340,82689897,black,male,3500 35TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0341,71848451,white,male,1400 14TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0341,71848451,white,male,1400 14TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
17-0341,71848451,white,male,1400 14TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0341,71848451,white,male,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0341,40630285,white,male,9807 SUMMER INITIATIVE,Civil Rights Complaint,No Sustained Findings,Not Applicable
17-0341,40630285,white,male,9807 SUMMER INITIATIVE,Departmental Violation,Sustained Finding,Training/Counseling
17-0341,40630285,white,male,9807 SUMMER INITIATIVE,Departmental Violation,Sustained Finding,Training/Counseling
17-0342,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0342,NA,NA,NA,NA,Verbal Abuse,No Sustained Findings,Not Applicable
17-0342,58099405,white,female,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
17-0343,48479158,black,female,3900 39TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0344,57088491,black,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0344,57088491,black,male,2200 22ND DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0345,16893808,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0345,16893808,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0345,90394231,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0345,90394231,white,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0346,31392499,white,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0346,31156465,latino,female,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0347,62595559,black,female,1500 15TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0347,62595559,black,female,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0347,62595559,black,female,1500 15TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0348,22941095,white,female,2600 26TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0349,NA,NA,NA,NA,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0350,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
17-0351,30467931,latino,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0352,NA,NA,NA,NA,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0353,35134546,white,male,1400 14TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0353,35134546,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0353,35134546,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0353,40251428,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0353,40251428,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0354,26067220,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0354,96061460,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0355,99280626,black,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0355,99280626,black,male,0800 08TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0355,12261697,white,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0355,12261697,white,male,0800 08TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0355,57849466,white,male,0800 08TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0355,57849466,white,male,0800 08TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0356,37442018,white,female,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0356,39728719,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0357,81329137,white,male,3500 35TH DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
17-0357,74429895,asian,male,3500 35TH DISTRICT,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
17-0358,84470025,white,female,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0359,66717492,black,male,7401 NARC FIELD UNIT,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0359,75981714,black,male,7401 NARC FIELD UNIT,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0360,71061899,black,male,6702 SPECIAL VICTIMS UNI,Lack of Service,No Sustained Findings,Not Applicable
17-0361,71832315,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0361,71832315,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0362,45490362,white,male,0200 02ND DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0363,76189081,black,female,0300 03RD DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0364,NA,NA,NA,NA,Physical Abuse,No Sustained Findings,Not Applicable
17-0365,NA,NA,NA,NA,Lack of Service,Sustained Finding,Not Applicable
17-0366,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0367,75233613,other,female,4921 RADIO ROOM 1,Criminal Allegation,No Sustained Findings,Not Applicable
17-0367,11808168,asian,male,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0367,91071264,white,male,1500 15TH DISTRICT,Departmental Violation,Sustained Finding,Pending
17-0368,75233613,other,female,4921 RADIO ROOM 1,Referred to Other Agency/C.A.P. Investigation,No Sustained Findings,Not Applicable
17-0369,96767160,black,female,4921 RADIO ROOM 1,Unprofessional Conduct,Sustained Finding,Guilty Finding
17-0370,23652459,black,male,5200 TRAFFIC DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
17-0370,23652459,black,male,5200 TRAFFIC DISTRICT,Verbal Abuse,Sustained Finding,Training/Counseling
17-0371,68431016,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0371,26204206,white,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0372,29546796,asian,male,1800 18TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0373,73464815,white,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0373,83925516,black,male,0600 06TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0373,83925516,black,male,0600 06TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0374,77533876,black,male,9815 EXTERNAL SERVICES,No C.A.P. Investigation,Not Applicable,Not Applicable
17-0375,80691072,white,male,2400 24TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0376,48669359,white,male,1400 14TH DISTRICT,Civil Rights Complaint,No Sustained Findings,Not Applicable
17-0377,83369333,white,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0377,60611497,white,male,0800 08TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0378,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0379,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
17-0380,67980577,white,male,6002 MAJOR CRIMES UNIT,Investigation OnGoing,Pending,Pending
17-0381,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
17-0382,27043458,white,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0382,80366289,black,male,1400 14TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0383,97080442,white,male,2500 25TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0384,76421853,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0384,59580156,white,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0384,66882287,white,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0384,66221391,white,male,1200 12TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0385,17088472,latino,male,1700 17TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0386,66821176,black,female,4500 CENTER CITY DISTRIC,Criminal Allegation,Sustained Finding,Training/Counseling
17-0386,66821176,black,female,4500 CENTER CITY DISTRIC,Criminal Allegation,Sustained Finding,Training/Counseling
17-0387,73174878,latino,male,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0388,24039556,black,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0389,52053148,black,female,7402 STRIKE FORCE,Departmental Violation,No Sustained Findings,Not Applicable
17-0390,85114786,white,male,5400 AID,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0391,84091340,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0391,38790246,white,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0392,46448060,white,male,0800 08TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0393,83072358,black,male,1900 19TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
17-0394,22020990,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0394,87910463,white,male,5300 HIGHWAY PATROL,Departmental Violation,No Sustained Findings,Not Applicable
17-0395,77452165,white,male,0900 09TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0395,77452165,white,male,0900 09TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0395,77452165,white,male,0900 09TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0396,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0397,28690034,white,male,5900 EAST DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
17-0397,11424676,latino,female,5900 EAST DETECTIVES,Departmental Violation,Sustained Finding,Training/Counseling
17-0397,11424676,latino,female,5900 EAST DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
17-0397,47432710,white,male,5900 EAST DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
17-0397,11424676,latino,female,5900 EAST DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
17-0398,83128835,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
17-0398,83128835,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0529,NA,NA,NA,NA,Lack of Service,No Sustained Findings,Not Applicable
17-0398,83128835,white,male,3500 35TH DISTRICT,Departmental Violation,Sustained Finding,Guilty Finding
17-0399,44308473,white,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0400,33029634,white,male,2400 24TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
17-0400,93548852,white,male,2400 24TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
17-0400,95981981,white,male,2400 24TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
17-0400,95981981,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0400,14094869,white,male,2400 24TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
17-0401,88118860,white,male,7401 NARC FIELD UNIT,Departmental Violation,No Sustained Findings,Not Applicable
17-0401,70414735,white,male,7401 NARC FIELD UNIT,Departmental Violation,No Sustained Findings,Not Applicable
