complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0028,31713678,white,male,3500 35TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
16-0028,59281808,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0028,31713678,white,male,3500 35TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0029,52152368,white,male,1500 15TH DISTRICT,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0029,37839242,black,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0029,82938806,black,male,1500 15TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0030,41259767,black,male,3900 39TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0031,29622499,black,female,1700 17TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0032,93447744,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0032,42852441,black,female,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0033,27812501,black,male,6100 SOUTH DETECTIVES,Lack of Service,No Sustained Findings,Not Applicable
16-0033,64762613,black,male,6100 SOUTH DETECTIVES,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0033,64762613,black,male,6100 SOUTH DETECTIVES,Departmental Violation,No Sustained Findings,Not Applicable
16-0033,54671670,white,male,0300 03RD DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0034,NA,NA,NA,NA,Verbal Abuse,No Sustained Findings,Not Applicable
16-0035,14582902,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,67255136,black,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,71920892,white,male,0200 02ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0035,71920892,white,male,0200 02ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,67255136,black,male,2200 22ND DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0035,47882806,latino,male,2200 22ND DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0035,54817926,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,11370603,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,76712991,black,female,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0035,94589807,white,male,2200 22ND DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,23705331,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,49811593,black,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0036,49811593,black,male,1200 12TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0036,38731538,black,male,1200 12TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
